document_id,publication_year,hdbscan_label
1,2020,4
2,2020,3
3,2020,1
4,2020,-1
5,2020,2
6,2020,-1
7,2020,-1
8,2020,-1
9,2020,4
10,2020,3
11,2020,-1
12,2020,4
13,2020,4
14,2020,-1
15,2020,-1
16,2020,-1
17,2020,-1
18,2020,4
19,2020,-1
20,2020,-1
21,2020,4
22,2020,4
23,2020,4
24,2020,-1
25,2020,4
26,2020,-1
27,2020,4
28,2020,4
29,2020,4
30,2020,4
31,2020,4
32,2020,4
33,2020,4
34,2020,-1
35,2020,4
36,2020,-1
38,2020,-1
44,2020,-1
54,2020,4
55,2020,-1
58,2020,4
59,2020,4
60,2020,-1
62,2020,-1
70,2020,4
78,2020,-1
82,2020,5
88,2020,-1
89,2020,2
90,2020,-1
91,2020,-1
95,2020,-1
102,2020,-1
103,2020,-1
104,2020,4
109,2020,-1
114,2020,2
115,2020,-1
116,2020,4
117,2020,-1
121,2020,-1
127,2020,-1
131,2020,-1
132,2020,-1
133,2020,3
134,2020,-1
135,2020,3
136,2020,-1
137,2020,-1
138,2020,-1
139,2020,3
140,2020,3
142,2020,-1
145,2020,-1
146,2020,-1
147,2020,-1
148,2020,-1
149,2020,2
150,2020,-1
151,2020,-1
152,2020,-1
153,2020,0
154,2020,0
155,2020,-1
156,2020,-1
157,2020,4
158,2020,4
159,2020,-1
161,2020,-1
162,2020,-1
166,2020,-1
169,2020,0
170,2020,-1
171,2020,-1
172,2020,-1
173,2020,0
174,2020,-1
175,2020,-1
186,2020,-1
190,2020,-1
208,2020,-1
209,2020,-1
212,2020,4
214,2020,-1
218,2020,-1
219,2020,-1
220,2020,-1
226,2020,-1
228,2020,-1
229,2020,-1
237,2020,-1
238,2020,-1
240,2020,4
241,2020,4
245,2020,-1
253,2020,-1
254,2020,-1
256,2020,-1
257,2020,-1
258,2020,-1
261,2020,-1
262,2020,-1
286,2020,-1
288,2020,4
290,2020,-1
291,2020,-1
292,2020,-1
293,2020,-1
294,2020,-1
295,2020,-1
296,2020,-1
297,2020,-1
298,2020,-1
299,2020,-1
301,2020,-1
302,2020,-1
303,2020,-1
304,2020,3
308,2020,-1
312,2020,-1
315,2020,-1
319,2020,-1
321,2020,-1
322,2020,-1
328,2020,-1
330,2020,-1
332,2020,-1
333,2020,-1
351,2020,-1
352,2020,-1
353,2020,3
354,2020,-1
355,2020,-1
356,2020,4
357,2020,-1
358,2020,4
359,2020,-1
360,2020,-1
361,2020,3
362,2020,3
363,2020,-1
364,2020,3
365,2020,-1
366,2020,-1
367,2020,3
368,2020,3
369,2020,-1
370,2020,-1
371,2020,-1
374,2020,-1
376,2020,-1
377,2020,4
379,2020,-1
380,2020,-1
381,2020,-1
382,2020,-1
383,2020,-1
384,2020,-1
386,2020,-1
388,2020,-1
389,2020,4
390,2020,4
391,2020,-1
392,2020,-1
393,2020,-1
400,2020,-1
401,2020,-1
405,2020,-1
406,2020,-1
407,2020,-1
408,2020,-1
411,2020,-1
412,2020,-1
413,2020,-1
414,2020,-1
415,2020,4
416,2020,4
417,2020,4
418,2020,3
424,2020,3
427,2020,5
428,2020,-1
430,2020,-1
431,2020,-1
432,2020,-1
433,2020,3
434,2020,-1
435,2020,-1
436,2020,4
437,2020,-1
438,2020,-1
440,2020,-1
444,2020,-1
445,2020,4
446,2020,-1
447,2020,-1
448,2020,-1
450,2020,4
451,2020,4
452,2020,-1
453,2020,-1
454,2020,-1
455,2020,4
456,2020,4
458,2020,-1
459,2020,-1
464,2020,-1
465,2020,-1
466,2020,4
467,2020,4
468,2020,-1
469,2020,3
470,2020,3
472,2020,4
473,2020,4
474,2020,4
475,2020,4
476,2020,4
477,2020,4
484,2020,-1
485,2020,4
486,2020,-1
487,2020,-1
488,2020,4
489,2020,-1
490,2020,4
491,2020,-1
492,2020,4
493,2020,3
494,2020,4
495,2020,4
496,2020,4
497,2020,-1
504,2020,-1
505,2020,-1
506,2020,-1
507,2020,-1
508,2020,4
516,2020,4
519,2020,4
522,2020,-1
523,2020,-1
524,2020,-1
525,2020,4
526,2020,-1
528,2020,-1
529,2020,-1
530,2020,-1
531,2020,-1
532,2020,-1
533,2020,-1
534,2020,4
535,2020,-1
536,2020,-1
538,2020,-1
539,2020,-1
540,2020,-1
541,2020,4
542,2020,-1
543,2020,-1
544,2020,-1
552,2020,-1
553,2020,-1
554,2020,-1
556,2020,-1
557,2020,-1
558,2020,4
559,2020,-1
560,2020,4
561,2020,-1
562,2020,-1
563,2020,-1
564,2020,-1
565,2020,-1
566,2020,-1
567,2020,-1
568,2020,-1
569,2020,-1
570,2020,-1
571,2020,-1
572,2020,-1
573,2020,3
574,2020,3
575,2020,4
577,2020,3
578,2020,-1
579,2020,3
580,2020,4
581,2020,-1
582,2020,-1
583,2020,-1
584,2020,-1
585,2020,3
586,2020,-1
587,2020,-1
588,2020,-1
589,2020,-1
590,2020,3
591,2020,-1
592,2020,-1
593,2020,-1
594,2020,-1
595,2020,-1
596,2020,-1
597,2020,-1
598,2020,-1
599,2020,-1
600,2020,-1
601,2020,4
602,2020,-1
603,2020,-1
604,2020,-1
605,2020,-1
606,2020,-1
